feature,importance
num__PREV_AMT_ANNUITY_SUM,9.561134e-05
num__PREV_CC_AMT_DRAWINGS_OTHER_CURRENT_SUM_MAX,9.558374e-05
num__PREV_POS_CNT_INSTALMENT_MEAN_MAX,9.41011e-05
num__YEARS_BUILD_AVG,9.340789e-05
num__PREV_POS_NAME_CONTRACT_STATUS_NUNIQUE_MEAN,9.3212075e-05
num__BUREAU_DAYS_CREDIT_ENDDATE_MIN,8.989703e-05
num__REGION_RATING_CLIENT,8.8742374e-05
num__BASEMENTAREA_AVG,8.769745e-05
num__PREV_INST_DAYS_INSTALMENT_MAX_MAX,8.5782944e-05
num__PREV_DAYS_FIRST_DUE_MAX,8.058701e-05
num__PREV_CC_AMT_PAYMENT_CURRENT_MEAN_MEAN,8.040105e-05
num__PREV_CC_MONTHS_BALANCE_STD_MAX,7.9977355e-05
num__PREV_INST_AMT_INSTALMENT_MEAN_MEAN,7.816779e-05
num__PREV_POS_CNT_INSTALMENT_FUTURE_MAX_MEAN,7.762316e-05
"cat__NAME_TYPE_SUITE_Spouse, partner",7.685118e-05
num__PREV_AMT_CREDIT_MIN,7.661769e-05
num__BUREAU_CREDIT_DAY_OVERDUE_STD,7.635457e-05
num__PREV_CC_CNT_DRAWINGS_CURRENT_SUM_MAX,7.445209e-05
num__PREV_HOUR_APPR_PROCESS_START_MIN,7.4112155e-05
num__PREV_AMT_CREDIT_STD,7.364267e-05
num__PREV_CC_AMT_DRAWINGS_ATM_CURRENT_MAX_MAX,7.363574e-05
num__BUREAU_DAYS_CREDIT_STD,6.901693e-05
num__PREV_HOUR_APPR_PROCESS_START_STD,6.2155064e-05
num__PREV_DAYS_FIRST_DUE_MEAN,6.211388e-05
num__PREV_INST_NUM_INSTALMENT_VERSION_MIN_MEAN,6.132004e-05
cat__NAME_INCOME_TYPE_Pensioner,5.5734356e-05
num__PREV_CC_CNT_DRAWINGS_POS_CURRENT_SUM_MAX,4.357577e-05
num__BUREAU_DAYS_CREDIT_UPDATE_STD,4.114982e-05
cat__WALLSMATERIAL_MODE_missing,3.772297e-05
num__BUREAU_AMT_CREDIT_MAX_OVERDUE_STD,2.8676695e-05
num__PREV_DAYS_TERMINATION_STD,2.6406204e-05
num__PREV_CC_CNT_DRAWINGS_ATM_CURRENT_MAX_MAX,2.4505147e-05
num__FLAG_EMP_PHONE,1.7547949e-05
num__PREV_DAYS_LAST_DUE_MIN,1.27379935e-05
cat__ORGANIZATION_TYPE_Business Entity Type 2,8.235283e-06
cat__ORGANIZATION_TYPE_Industry: type 1,0.0
num__PREV_CC_SK_DPD_SUM_MAX,0.0
