model,threshold,TN,FP,FN,TP,recall,precision,f1,total_cost
LogisticRegression,0.19,44384,181764,637,19223,0.9679254783484391,0.09564300178618518,0.1740843208193908,188134
LogisticRegression,0.2,48472,177676,723,19137,0.963595166163142,0.09723443065244673,0.17664406732726273,184906
LogisticRegression,0.21000000000000002,52742,173406,815,19045,0.9589627391742196,0.09896025481810955,0.17940662518663658,181556
LogisticRegression,0.22,56997,169151,900,18960,0.9546827794561934,0.10079155392294975,0.1823331137514365,178151
LogisticRegression,0.23,61157,164991,1009,18851,0.9491943605236657,0.10253913686752755,0.1850840934305996,175081
LogisticRegression,0.24000000000000002,65359,160789,1123,18737,0.9434541792547835,0.10436928355781336,0.18794699728165468,172019
LogisticRegression,0.25,69650,156498,1236,18624,0.9377643504531722,0.10634871689450782,0.1910330184324707,168858
LogisticRegression,0.26,73904,152244,1372,18488,0.9309164149043303,0.10828667150856312,0.19400604432505036,165964
LogisticRegression,0.27,78104,148044,1515,18345,0.9237160120845922,0.11025368263527036,0.1969943462783693,163194
LogisticRegression,0.28,82150,143998,1629,18231,0.91797583081571,0.11237818145954176,0.200242738441092,160288
LogisticRegression,0.29000000000000004,86217,139931,1779,18081,0.9104229607250756,0.11442801812520569,0.2033034991454529,157721
LogisticRegression,0.3,90293,135855,1943,17917,0.9021651560926486,0.11651666103061675,0.20637900847769997,155285
LogisticRegression,0.31,94329,131819,2105,17755,0.8940080563947633,0.11870378541725166,0.20958013149662996,152869
LogisticRegression,0.32,98311,127837,2268,17592,0.8858006042296073,0.12096624469672486,0.2128635299384714,150517
LogisticRegression,0.33,102287,123861,2424,17436,0.8779456193353474,0.12339964755090342,0.2163852640592714,148101
LogisticRegression,0.34,106156,119992,2604,17256,0.8688821752265861,0.12572860806714853,0.21967054510273187,146032
LogisticRegression,0.35000000000000003,109987,116161,2776,17084,0.860221550855992,0.12821494239933956,0.22316710754057673,143921
LogisticRegression,0.36000000000000004,113791,112357,2936,16924,0.8521651560926485,0.13090864086756754,0.226953017614204,141717
LogisticRegression,0.37,117534,108614,3120,16740,0.8429003021148036,0.13354180959522632,0.23055628245210516,139814
LogisticRegression,0.38,121296,104852,3310,16550,0.8333333333333334,0.13632394853462051,0.23431637666180571,137952
LogisticRegression,0.39,124835,101313,3492,16368,0.8241691842900302,0.13908787314859664,0.23800903003468057,136233
LogisticRegression,0.4,128376,97772,3678,16182,0.8148036253776435,0.14200466855046773,0.2418581015439341,134552
LogisticRegression,0.41000000000000003,131807,94341,3889,15971,0.8041792547834844,0.14478025962723912,0.24538303168116032,133231
LogisticRegression,0.42000000000000004,135215,90933,4120,15740,0.7925478348439073,0.14755373899674706,0.24878885350066782,132133
LogisticRegression,0.43,138548,87600,4335,15525,0.7817220543806647,0.15054545454545454,0.2524698133918771,130950
LogisticRegression,0.44,141943,84205,4576,15284,0.7695871097683786,0.15362502387198584,0.2561227995207333,129965
LogisticRegression,0.45,145136,81012,4808,15052,0.7579053373615308,0.15668720852764823,0.2596873813878058,129092
LogisticRegression,0.46,148321,77827,5043,14817,0.7460725075528701,0.15993480419671,0.26340396785892056,128257
LogisticRegression,0.47000000000000003,151406,74742,5273,14587,0.734491440080564,0.1632952344703288,0.2671880867120314,127472
LogisticRegression,0.48000000000000004,154503,71645,5497,14363,0.7232124874118832,0.16699609338666171,0.2713378924698681,126615
LogisticRegression,0.49,157405,68743,5766,14094,0.7096676737160121,0.17014136195178484,0.2744773459789478,126403
LogisticRegression,0.5,160241,65907,6009,13851,0.6974320241691843,0.17366283006093433,0.2780822742877793,125997
LogisticRegression,0.51,163078,63070,6258,13602,0.6848942598187311,0.17740505008347246,0.2818132847138773,125650
LogisticRegression,0.52,165939,60209,6535,13325,0.6709466263846928,0.18120869257758315,0.28535023663190356,125559
LogisticRegression,0.53,168566,57582,6813,13047,0.6569486404833836,0.18472582083846578,0.2883665417896098,125712
LogisticRegression,0.54,171270,54878,7102,12758,0.6423967774420947,0.18862735821160329,0.2916247599890281,125898
LogisticRegression,0.55,173815,52333,7377,12483,0.6285498489425981,0.19259133547272278,0.2948415135339411,126103
LogisticRegression,0.56,176264,49884,7679,12181,0.6133434038267875,0.1962619834044953,0.29736954531583765,126674
LogisticRegression,0.5700000000000001,178697,47451,7982,11878,0.5980866062437059,0.20020563299566824,0.29999116038843776,127271
LogisticRegression,0.5800000000000001,181075,45073,8291,11569,0.582527693856999,0.20424773136541788,0.3024496091605448,127983
